no,jenis_ikan,nama_ikan,lokasi,total_kg
29,Pelagis Besar,Marlin,Bayah,1894
30,Pelagis Besar,Nyunglas,Bayah,795
31,Demersal (Elasmobranch),Pari,Bayah,7587
32,Pelagis Besar,Pedang,Bayah,686
33,Pelagis Kecil / Semi-Demersal,Peperek,Bayah,39444
34,Karang (Reef-Associated),Pinjalo,Bayah,2771
35,Pelagis Kecil,Pisang-pisang,Bayah,119162
36,Demersal (Flatfish),Sebelah,Bayah,12123
37,Pelagis Kecil,Selar Bentong,Bayah,70547
38,Pelagis Kecil,Selar Kuning,Bayah,404
39,Karang (Reef-Associated),Swanggi,Bayah,9904
40,Pelagis Besar,Tenggiri,Bayah,949
41,Pelagis Besar,Tenggiri Papan,Bayah,1284
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Bayah,15403
43,Pelagis Besar,Tongkol,Bayah,13244
44,Pelagis Besar,Tongkol Abu-abu,Bayah,11709
45,Pelagis Besar,Tongkol Banyar,Bayah,27088
46,Pelagis Besar,Tongkol Komo,Bayah,22236
47,Pelagis Besar,Tongkol Lisong,Bayah,22554
48,Pelagis Besar,Tuna Mata Besar,Bayah,140
49,Pelagis Besar,Tuna Sirip Kuning,Bayah,9637
JUMLAH,,,Bayah,1046023
1,Demersal,Ayam-ayam,Pulomanuk,1924
2,Pelagis Besar,Bawal Laut,Pulomanuk,281
3,Pelagis Besar,Cakalang,Pulomanuk,10674
4,Pelagis Kecil,Cendro,Pulomanuk,2098
5,Karang (Reef-Associated),Ekor Kuning,Pulomanuk,3356
6,Demersal,Gabus Laut,Pulomanuk,1597
7,Demersal,Gerot-gerot,Pulomanuk,4986
8,Demersal,Golok-golok,Pulomanuk,1539
9,Demersal,Gulamah,Pulomanuk,3712
10,Demersal / Karang,Kakap,Pulomanuk,388
11,Demersal / Karang,Kakap Batu,Pulomanuk,208
12,Demersal / Karang,Kakap Jenaha,Pulomanuk,451
13,Demersal / Karang,Kakap Merah,Pulomanuk,535
14,Demersal,Kapas-kapas,Pulomanuk,3843
15,Pelagis Kecil,Kembung Lelaki,Pulomanuk,3627
16,Pelagis Kecil,Kembung Perempuan,Pulomanuk,3358
17,Karang (Reef-Associated),Kerapu,Pulomanuk,500
