jenis_ikan,nama_ikan,tahun,bulan,total_kg_x,tanggal,no,lokasi,total_kg_y,jenis_alat_tangkap
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Cibareno,306.0,Unknown
Demersal,Manyung,2021,7,1450,2021-01-07,28,Binuangeun,8010.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Tanjungpanto,129.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Sukahujan,286.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Cipunaga,477.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Panyaungan,386.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Situregen,439.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Bayah,7438.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Pulomanuk,763.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Sawarna,477.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Citarate,267.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2021,7,1450,2021-01-07,28,Cibareno,400.0,Rawai Dasar (Bottom Longline)
Pelagis Kecil,Peperek,2021,7,3250,2021-01-07,,Unknown,0.0,Unknown
Pelagis Kecil,Layur,2021,7,13250,2021-01-07,,Unknown,0.0,Unknown
Pelagis Besar,layaran,2021,7,3500,2021-01-07,,Unknown,0.0,Unknown
jumlah,Unknown,2021,7,6367065,2021-01-07,,Unknown,0.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Binuangeun,138782.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Tanjungpanto,1275.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Sukahujan,2853.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Cipunaga,4694.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Panyaungan,3824.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Situregen,4290.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Bayah,28098.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Pulomanuk,7366.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Sawarna,4694.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Citarate,2542.0,Unknown
Pelagis Besar,Lemadang,2021,7,17250,2021-01-07,26,Cibareno,3813.0,Unknown
Pelagis Besar,Swanggi,2021,7,325,2021-01-07,,Unknown,0.0,Unknown
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Binuangeun,296080.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Binuangeun,296080.0,Payang
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Tanjungpanto,212.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Tanjungpanto,212.0,Payang
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Sukahujan,476.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Sukahujan,476.0,Payang
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Cipunaga,777.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Cipunaga,777.0,Payang
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Panyaungan,635.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Panyaungan,635.0,Payang
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Situregen,708.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,7,39500,2021-01-07,23,Situregen,708.0,Payang
