jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Pelagis Besar,Alu Alu/baracuda,2019,9,645,2019-01-09
Demersal,Kuniran/biji nangka,2019,9,525,2019-01-09
Karang (Reef-Associated),Ayam ayam,2019,9,1770,2019-01-09
Pelagis Besar,Bawal laut,2019,9,300,2019-01-09
Pelagis Kecil,Bentong,2019,9,690,2019-01-09
Pelagis Besar,Cakalang,2019,9,210150,2019-01-09
Demersal,Cucut,2019,9,300,2019-01-09
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,9,8400,2019-01-09
Demersal,Golok golok,2019,9,630,2019-01-09
Demersal,Gulamah/Tigawaja/Samgeh,2019,9,6300,2019-01-09
Demersal,Kurisi,2019,9,6600,2019-01-09
Demersal,Ikan sebelah,2019,9,510,2019-01-09
Pelagis Kecil,Japuh,2019,9,690,2019-01-09
Karang (Reef-Associated),Jenaha,2019,9,270,2019-01-09
Karang (Reef-Associated),Kakap Merah,2019,9,960,2019-01-09
Pelagis Kecil,Kapas kapas,2019,9,11550,2019-01-09
Pelagis Kecil,Kembung,2019,9,3780,2019-01-09
Karang (Reef-Associated),Kerapu,2019,9,420,2019-01-09
Karang (Reef-Associated),kuwe,2019,9,5580,2019-01-09
Pelagis Besar,ikan pedang,2019,9,3000,2019-01-09
Demersal,Pari,2019,10,420,2019-01-10
Pelagis Besar,Marlin,2019,10,12060,2019-01-10
Pelagis Besar,layaran,2019,10,18450,2019-01-10
Pelagis Besar,Lemadang,2019,10,10830,2019-01-10
Pelagis Kecil,Layur,2019,10,63300,2019-01-10
Pelagis Kecil,Peperek,2019,10,1320,2019-01-10
Demersal,Manyung,2019,10,540,2019-01-10
Pelagis Besar,Swanggi,2019,10,1260,2019-01-10
Pelagis Kecil,Tetengkek,2019,10,990,2019-01-10
Demersal,Tambakan,2019,10,90,2019-01-10
Pelagis Kecil,Tembang,2019,10,0,2019-01-10
Pelagis Besar,Tenggiri,2019,10,6330,2019-01-10
Pelagis Besar,Tongkol,2019,10,61125,2019-01-10
Pelagis Besar,Tuna Sirip Kuning,2019,10,165000,2019-01-10
Pelagis Besar,Tuna Mata Besar,2019,10,15360,2019-01-10
Pelagis Kecil,Teri,2019,10,0,2019-01-10
Pelagis Kecil,Layang,2019,10,20550,2019-01-10
Pelagis Kecil,Selar,2019,10,6300,2019-01-10
jumlah,,2019,10,686610,2019-01-10
Pelagis Kecil,Laosan,2019,10,8280,2019-01-10
Demersal,Kuniran/biji nangka,2019,10,660,2019-01-10
Demersal,Kurisi,2019,10,19500,2019-01-10
Pelagis Besar,Alu Alu/baracuda,2019,10,900,2019-01-10
Karang (Reef-Associated),Ayam ayam,2019,10,1290,2019-01-10
Pelagis Besar,Bawal laut,2019,10,510,2019-01-10
Pelagis Kecil,Bentong,2019,10,1050,2019-01-10
Demersal,Cucut,2019,10,360,2019-01-10
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,10,5490,2019-01-10
Demersal,Golok golok,2019,10,480,2019-01-10
Demersal,Gulamah/Tigawaja/Samgeh,2019,10,4500,2019-01-10
Pelagis Besar,Cakalang,2019,10,230040,2019-01-10
Demersal,Ikan sebelah,2019,10,570,2019-01-10
Pelagis Besar,ikan pedang,2019,10,0,2019-01-10
Karang (Reef-Associated),Kerapu,2019,10,660,2019-01-10
Pelagis Kecil,Kembung,2019,10,3150,2019-01-10
Pelagis Kecil,Kapas kapas,2019,10,14430,2019-01-10
Karang (Reef-Associated),kuwe,2019,10,9690,2019-01-10
Karang (Reef-Associated),Jenaha,2019,10,330,2019-01-10
Pelagis Kecil,Japuh,2019,10,0,2019-01-10
Karang (Reef-Associated),Kakap Merah,2019,10,795,2019-01-10
Pelagis Besar,Swanggi,2019,11,1110,2019-01-11
Pelagis Besar,layaran,2019,11,27060,2019-01-11
Pelagis Kecil,Layur,2019,11,58440,2019-01-11
Pelagis Besar,Lemadang,2019,11,6900,2019-01-11
Demersal,Manyung,2019,11,0,2019-01-11
Pelagis Besar,Marlin,2019,11,23400,2019-01-11
Demersal,Pari,2019,11,300,2019-01-11
Pelagis Kecil,Peperek,2019,11,990,2019-01-11
Pelagis Kecil,Selar,2019,11,3960,2019-01-11
Pelagis Kecil,Layang,2019,11,17400,2019-01-11
Pelagis Kecil,Tembang,2019,11,0,2019-01-11
Pelagis Besar,Tenggiri,2019,11,4530,2019-01-11
Pelagis Kecil,Tetengkek,2019,11,0,2019-01-11
Pelagis Besar,Tongkol,2019,11,36360,2019-01-11
Pelagis Besar,Tuna Sirip Kuning,2019,11,151200,2019-01-11
Pelagis Besar,Tuna Mata Besar,2019,11,18000,2019-01-11
Pelagis Kecil,Teri,2019,11,0,2019-01-11
jumlah,,2019,11,614010,2019-01-11
Demersal,Tambakan,2019,11,90,2019-01-11
Pelagis Kecil,Laosan,2019,11,6750,2019-01-11
Pelagis Besar,ikan pedang,2019,11,0,2019-01-11
Demersal,Kuniran/biji nangka,2019,11,450,2019-01-11
Pelagis Besar,Alu Alu/baracuda,2019,11,1050,2019-01-11
Karang (Reef-Associated),Ayam ayam,2019,11,1200,2019-01-11
Pelagis Besar,Bawal laut,2019,11,0,2019-01-11
Pelagis Kecil,Bentong,2019,11,9000,2019-01-11
Pelagis Besar,Cakalang,2019,11,184050,2019-01-11
Demersal,Cucut,2019,11,600,2019-01-11
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,11,6900,2019-01-11
Demersal,Golok golok,2019,11,0,2019-01-11
Demersal,Gulamah/Tigawaja/Samgeh,2019,11,2880,2019-01-11
Demersal,Kurisi,2019,11,25800,2019-01-11
Demersal,Ikan sebelah,2019,11,0,2019-01-11
Pelagis Kecil,Japuh,2019,11,0,2019-01-11
Karang (Reef-Associated),Jenaha,2019,11,0,2019-01-11
