nama_ikan,ds,y
Gerot Gerot,2024-01-02,3269
Gerot Gerot,2024-01-03,2577
Gerot Gerot,2024-01-04,6630
Gerot Gerot,2024-01-05,5734
Gerot Gerot,2024-01-06,7657
Gerot Gerot,2024-01-07,6547
Gerot Gerot,2024-01-08,6651
Gerot Gerot,2024-01-09,6784
Gerot Gerot,2024-01-10,6974
Gerot Gerot,2024-01-11,6776
Gerot Gerot,2024-01-12,6747
Gerot-gerot,2023-01-01,96555
Gerot-gerot,2023-01-02,143207
Gerot-gerot,2023-01-03,106641
Gerot-gerot,2023-01-04,140835
Gerot-gerot,2023-01-06,171402
Gerot-gerot,2023-01-07,4950
Gerot-gerot,2023-01-08,7920
Gerot-gerot,2023-01-10,132832
Gerot-gerot,2023-01-11,63075
Gerot-gerot,2023-01-12,73036
Golok golok,2019-01-01,658
Golok golok,2019-01-02,931
Golok golok,2019-01-03,511
Golok golok,2019-01-05,1184
Golok golok,2019-01-06,1088
Golok golok,2019-01-07,1365
Golok golok,2019-01-08,990
Golok golok,2019-01-09,630
Golok golok,2019-01-10,480
Golok golok,2019-01-11,0
Golok golok,2020-01-01,846
Golok golok,2020-01-02,796
Golok golok,2020-01-03,950
Golok golok,2020-01-04,709
Golok golok,2020-01-05,786
Golok golok,2020-01-06,1030
Golok golok,2020-01-07,832
Golok golok,2020-01-08,736
Golok golok,2020-01-09,890
Golok golok,2020-01-10,893
Golok golok,2020-01-11,730
Golok golok,2020-01-12,960
Golok golok,2021-01-01,750
Golok golok,2021-01-02,700
Golok golok,2021-01-03,550
Golok golok,2021-01-04,1000
Golok golok,2021-01-05,1900
Golok golok,2021-01-06,850
Golok golok,2021-01-07,750
Golok golok,2021-01-08,225
Golok golok,2021-01-09,850
Golok golok,2021-01-10,1400
Golok golok,2021-01-11,1650
Golok golok,2021-01-12,900
Golok golok,2022-01-02,4130
Golok golok,2022-01-12,1250
Golok golok,2024-01-01,2278
Golok golok,2024-01-02,2470
Golok golok,2024-01-03,1377
Golok golok,2024-01-04,961
Golok golok,2024-01-05,2248
Golok golok,2024-01-06,1774
Golok golok,2024-01-07,1219
Golok golok,2024-01-08,2418
Golok golok,2024-01-09,2520
Golok golok,2024-01-10,2194
Golok golok,2024-01-11,2143
Golok golok,2024-01-12,2069
Golok-golok,2023-01-01,9225
Golok-golok,2023-01-02,852
Golok-golok,2023-01-03,73185
Golok-golok,2023-01-04,2091
